title,description,year,number
Turtle,"I don't know much about this turtle, but it says 1999 on the back. I was 5!",1995,1
Third grade class picture,This is my third grade class. I'm right in the middle with the overgrown bangs. I actually still know some of these people!,2003,2
Doodle from a restaurant,"This is a doodle my mom made on one of those pieces of paper they wrap around napkins at restaurants. We had a competition between my mom, my sister and me to see who could draw the best animals. My mom won. ",2004,3
First pug card,"I used to have an extensive collection of pug cards. This was the first and my favorite. I think the inside said, ""Got milk?""",2005,4
Souvenier from Nicaragua,This is a little souvenier from one of our visits to Nicaragua. That's where my mom is from.,2006,5
Ornament from wooden German christmas tree,"In 2006 and 2008 we visited southern Germany. We got a cute wooden Christmas tree from a souveneir shop. We break it out every December, but lots of the pieces have gone missing or, like this one, lost their hook attachments.",2007,6
Trace Adkins concert ticket,"This was my first ever concert. I went with my mom and it was awesome. Judging by the date, this was a birthday gift.",2008,7
Pompano Beach High School stuff,"I'm very, very fond of my high school. Here you can see my Pompano lanyard and senior year ID, which we were required to wear daily, with three Key Club pins (one for member, secretary and president) and a button I sewed on it; my cross country letter; my first ever press pass for the Tornado Times; and my graduation cap tassle.",2008 – 2012,8
Final Harry Potter movie ticket,I've been keeping movie tickets for as long as I can remember. This was a big one.,2011,9
Art from an old friend,"A good friend of mine doodled this and was going to throw it away before I saved it. It's still on my wall. We're not really friends anymore, but I think of him often.",2012,10
Teacher's Top 10 speech,One of my favorite high school teachers gave this speech about me at our Top 10 Percent ceremony before graduation.,2012,11
Teacher's quote,My AP Literature teacher had quotes hanging all around his classroom. He let each student take one home and signed them if we wanted him to. ,2012,12
UF Preview bag,"This came from Preview, which was also my first time on a college campus. Exhuasting but awesome.",2012,13
Gift from coworkers,My sweet coworkers at my summer office job gave me this on my last day before going back to school a few years ago.,2013,14
Driver's license waiting number,"I got my driver's licence very late, using my friend's car. It was terrifying.",2013,15
Piece of wood from Urban Spree,I grabbed this piece of painted wood from the ground at an outside art venue and added the words to commemorate my first trip to Berlin.,2014,16
CAMP grocery list,"This is a grocery list from when I lived with Cassie, Max and Phil (together we made CAMP!). I guess Max didn't need anything that week.",2014,17
Freie Universität student ID,My Berlin student ID was my most valuable possession in Berlin.,2015,18
Piece of my old fridge,The fridge in my apartment broke recently. I took this piece out of spite.,2015,19
IRE pin,"This is the most recent ""thing"" I've collected. I went to Denver in March to attend NICAR and got this pin.",2016,20
